#geofeed_api_ibmcloud_world
159.8.198.0/23,NL,North Holland,Amsterdam
169.38.118.0/23,IN,Tamil Nadu,Chennai
173.192.118.0/23,US,Texas,Dallas
192.255.18.0/24,US,Texas,Dallas
198.23.118.0/23,US,Texas,Dallas
169.46.118.0/23,US,Texas,Dallas
169.47.118.0/23,US,Texas,Dallas
169.48.118.0/24,US,Texas,Dallas
159.122.118.0/23,DE,Hesse,Frankfurt
161.156.118.0/24,DE,Hesse,Frankfurt
149.81.118.0/23,DE,Hesse,Frankfurt
5.10.118.0/23,GB,London,London
158.175.127.0/24,GB,London,London
141.125.118.0/23,GB,London,London
158.176.118.0/23,GB,London,London
159.122.138.0/23,IT,Lombardy,Milan
169.54.118.0/23,CA,Quebec,Montreal
163.68.118.0/24,JP,Osaka,Osaka
163.69.118.0/24,JP,Osaka,Osaka
163.73.118.0/24,JP,Osaka,Osaka
159.8.118.0/23,FR,Ile-de-France,Paris
169.57.138.0/23,BR,São Paulo,São Paulo
50.23.118.0/23,US,California,San Jose
169.45.118.0/23,US,California,San Jose
169.62.118.0/24,US,California,San Jose
174.133.118.0/23,SG,Singapore,Jurong East
168.1.18.0/23,AU,New South Wales,Sydney
130.198.118.0/23,AU,New South Wales,Sydney
135.90.118.0/23,AU,New South Wales,Sydney
161.202.118.0/23,JP,Tokyo,Tokyo
128.168.118.0/23,JP,Tokyo,Tokyo
165.192.118.0/23,JP,Tokyo,Tokyo
158.85.118.0/23,CA,Ontario,Toronto
163.74.118.0/23,CA,Ontario,Toronto
163.75.118.0/23,CA,Ontario,Toronto
208.43.118.0/23,US,Washington D.C.,Washington D.C.
192.255.38.0/24,US,Washington D.C.,Washington D.C.
169.55.118.0/23,US,Washington D.C.,Washington D.C.
169.60.118.0/23,US,Washington D.C.,Washington D.C.
169.61.118.0/23,US,Washington D.C.,Washington D.C.
